MassGrown Map Export

LocationName,Address,City,State,Zip,Description,Website,Phone
"Watertown Farmers Market","Saltonstall Park next to Town Hall, 149 Main Street","Watertown","MA","02472","Dates & Times: June 11 to October 22; Wednesday, 2:30 pm - 6:30 pm; Market closes as 6:00 pm in October; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.watertownmarket.com",""
"Little Luke's Cafe","1225 Chestnut Street ","Newton","MA","02456","","www.littlelukescafe.com","(617) 244-3424"
"Newtonville","352 Lowell Ave. ","Newton","MA","02460","Dates & Time: June 21 to October 25; Saturday, 9:30 am - 12:30 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.newtonma.gov/government/parks-recreation-culture/recreation-programs/farmers-market",""
"Somerville/Davis Square Farmers Market","Day & Herbert St-Davis Square","Somerville","MA","02144","Dates & Time: May 20 to November 25; Wednesday, Noon - 6:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.

","www.massfarmersmarkets.org",""
"Somerville Mobile Market","25 Memorial Road","Somerville","MA","02145","Mystic Housing: Dates & Time: July 10 to November 1; Saturday, 10:00 am - 12:00 pm.
","www.somervillemobilefarmersmarket.wordpress.com/","() -"
"Red Fire Farm - CSA Pick-Up","297 Lowell Ave.","Newton","MA","02460","CSA Pick-up Location: St. John's Episcopal Church. CSA Pick-up Days: Thursday, Starting in June.","www.redfirefarm.com/CSA/join.html","413-467-7645"
"Belmont Acres Farm","34 Glenn Road","Belmont","MA","02478","5-acre, family-run farm. Committed to growing the freshest and most diverse produce with sustainable methods, emphasizing disease resistant cultivars and a critical application of organic methods. ","www.belmontacresfarm.com/","(781) 507-6602"
"Somerville Mobile Market","167 Holland Street","Somerville","MA","02143","Dates & Time: July 10 to November 1; Friday, 10:30 am-12:30 pm.","www.somervillemobilefarmersmarket.wordpress.com/","() -"
"Farmer Tim's Vegetables","130 Concord Ave.","Belmont","MA","02478","Saturday & Sunday 2:00 pm - 7:00 pm 
Farmer Tim's currently has about 6.5 acres in mixed vegetable production.","www.farmertims.com/csa","(857) 334-3121"
"Quincy Kilroy Square Farmers Market","25 Cottage Ave. ","QUINCY","MA","02169","Dates & Time: Mid June to October 30; Kilroy Square, Friday, 12:00 pm - 4:00 pm; EBT-SNAP accepted with select vendors only. 
 ","",""
"Somerville Mobile Market","1372 Broadway","Somerville","MA","02144","Dates & Time: July 10 to November 1; Thursday, 4:00 pm - 6:00 pm.
","somervillemobilefarmersmarket.wordpress.com/","() -"
"Brookwood Community Farm","11 Blue Hill River Road","Canton","MA","02021","Farm uses organic methods on 5 acres of revitalized farm land, providing on-farm educational and community-building opportunities, and actively supporting food access projects. Check website for hours. Coupons are accepted Tuesdays & Thursdays 2 pm - 6:30 pm and Saturdays 9 am - 1 pm.  


","www.brookwoodcommunityfarm.org","(857) 345-5528"
"Medford Winter Farmers Market","142 Mystic Ave. ","Medford","MA","02155","The Great American Beer Hall; Dates and Time: Tuesday, 3:00 pm - 7:00 pm; January 13 to April 14, No market 3/17; EBT-SNAP Accepted. ","www.medfordfarmersmarket.org",""
"Belmont Farmers Market","Cross St. & Channing Rd.-Belmont Center Municipal Parking Lot","Belmont","MA","02478","Dates & Times: June 4 to October 29; Thursday, 2:00 pm - 6:30 pm, Closes at 6:00 pm in October; WIC & Senior Coupons Accepted; EBT-SNAP Accepted. 

","www.belmontfarmersmarket.org",""
"Needham Farmers' Market","1471 Highland Ave.","Needham","MA","02492","Town Common; Dates & Time: June 16 to October 27; Sunday, 11:00 am - 3:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP accepted.","www.needhamfarmersmarket.org",""
"Gore Place","52 Gore Street","Waltham","MA","02453","It has 45 acres of gardens, lawns, fields and farmland with a small farm site with historic breeds of sheep and poultry. Visitors can view the animals and tour the mansion. Annual Sheepshearing Festival in April.","www.Goreplace.org","(781) 894-2798"
"Brookfield Farm - CSA Pick-Up","107 Grafton St.","Arlington","MA","02474","CSA Pick-up Days: Thursday, Starting in June. ","www.brookfieldfarm.org/csa/","413-253-7991"
"Capen Street Farm","75 Capen St.","Medford","MA","02153","Operate a diversified vegetable farm but everything grown is for the neighbors in Medford Hillside and West Somerville. Seek to enliven the neighborhood through fresh, nutrient-dense produce, festive weekly pickups, summer jobs for local teens and community-wide composting -- and chronicle all of this real-time on the website. 
","ploughandstarsproject.com","(617) 852-4109"
"Harlequin Stables","215 High Street","Westwood","MA","02090","Harlequin offers beginner to advanced riding lessons, balance seat, Hunter/Jumper, Dressage and summer camp.","www.horses.harlequinstables.com","(781) 407-0373"
"Everett Community Growers","548 Broadway ","Everett","MA","02149","Everett Community Growers (ECG) is a program of the Everett Community Health Partnership (ECHP), working to improve health outcomes and increase civic engagement among Everett residents through urban agriculture and other food justice initiatives.
Saturday 9 am- 12 pm, Wednesday Farm Pick-ups 3 pm- 6 pm.
FMNP Coupons accepted 2nd Wednesday of the month 4:30 pm - 6:30 pm.
Accept: P-EBT, SNAP/ HIP, Card, and Cash
","everettcommunitygrowers.org/",""
"Winthrop Farmers Market","Ingleside Park ","Winthrop","MA","02152","Dates & Time: June 22 to September 14; Sunday, 9:00 am - 1:00 pm. No market 8/31.","www.winthropfarmersmarket.com",""
"Colleen's Ice Cream and Sandwich Shop","61 High Street","Medford","MA","02153","","www.colleensmedford.com","(781) 395-8100"
"World Peas CSA Pick-Up","Condon Shell","Medford","MA","02153","CSA Pick-up Location: Condon Shell, Mystic Valley Parkway. ","www.nesfp.org/NewEntryCSA",""
"Volante Farms","292 Forest Street","Needham","MA","02492","Homegrown USDA certified organic produce, garden center/nursery, annuals, perennials, shrubs, full-service deli, farm kitchen, prepared foods, lunch specials, pastry kitchen, bakery, cafe, local coffee, year-round ice cream stand with local ice cream. Offer many free events - tasting events, wine and beer tastings, free food festivals, free concerts in the summer, walking farm tours.","www.Volantefarms.com","(781) 444-2351"
"Pakeen Farm","109 Elm St.","Canton","MA","02021","Multi-farm vegetable and fruit CSA. In fall, pumpkins, cider, apples and doughnuts, and in the winter, offer choose & cut Christmas trees, freshly cut Christmas trees and holiday decorations.

CSA Products offered: Vegetables
Pickup(s): On Farm ","www.pakeenfarm.com","(781) 828-0111"
"Medford Farmers Market","2501 Mystic Valley Parkway-Condon Shell","Medford","MA","02155","Dates & Time: June 4 to October 15; Thursday, 3:00 pm - 7:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted. 

","www.medfordfarmersmarket.org",""
"Waltham Fields Community Farm","240 Beaver Street","Waltham","MA","02451","Open June - October, Waltham Fields Community Farm (WFCF) is a nonprofit agricultural organization that sustainably stewards agricultural land, providing its harvests and educational programming to local and Greater Boston communities. WFCF’s agricultural operations include a Community Supported Agriculture (CSA) program, Barn Store, and education and volunteering programs. 

Subsidized CSA shares are available. For details, go to https://communityfarms.org/csa/csa-overview.

Barn Store hours: Wednesday - Friday 2:30 pm - 6:30 pm, Saturday 9:00 am - 2:30 pm.  

","www.communityfarms.org","(781) 899-2403"
"Arlington Farmers Market","Massachusetts Ave & Pleasant St-Russell Common Parking Lot","Arlington","MA","02474","Dates & Time: June 4 to October 29; Wednesday, 2:00 pm - 6:30 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted with select vendors only. 

","www.farmersmarketarlington.org",""
"Farmer Dave's - CSA Pick-Up","195 Canal St","Malden","MA","02148","CSA Pick-up Days: Wednesday, Starting in June.","farmerdaves.csaware.com/store/","978-349-1952"
"Lizzy's Homemade Ice Cream","367 Moody St","Waltham","MA","02451","Second-generation, classic homemade ice cream parlor located in Waltham, MA, with another location in Harvard Sq., Cambridge. Make a variety of products homemade including, the ice cream, hot fudge, waffle bowls, pastries and other trending items. ","www.lizzysicecream.com","(781) 893-6677"
"Snug Harbor Farmstand","O'Brien Towers, 73 Bicknell Street","QUINCY","MA","02169","Dates and Time: Wednesday, 1:00 pm - 6:00 pm, July to Fall.","",""
"The Bean Family Farm ","711 Clapboardtree Street ","Westwood","MA","02090","Premier source for farm fresh produce, meat, pumpkin, and Christmas products. Stand open June through Christmas selling all of our farms products as well as other locally sourced agricultural products for both retail as well as wholesale. Large autumn display with beautiful pumpkins, squashes, and apples among other fall items. Sell fresh cut Christmas trees of all sizes, wreaths and many other holiday decorations. ","https://www.beanfamilyfarm.com/","(781) 223-3604"
"Waltham Fields Community Farm Mobile Market","50 Church Street","Waltham","MA","02451","First Parish Church, 50 Church St.; Dates and Time: Tuesday, 4:30 pm - 6:30 pm; July to October; WIC & Senior Coupons Accepted. ","www.communityfarms.org",""
"Waltham Farmers Market","65 Lexington Street","Waltham","MA","02453","Dates & Time: June 6 to October 31; Saturday, 9:30 am - 2:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.



 ","www.walthamfarmersmarket.org",""
"Belmont Bee Company","19 Greensboro Way","Belmont","MA","02478","At the Belmont Bee Company, our focus is on the watchful care of our bees as they work busily to produce one of the most amazing, all-natural, and delicious products on earth.","www.belmontbeecompany.com","(201) 213-9788"
"Malden Farmers Market","City Hall Plaza","Malden","MA","02148","Dates and Time: July 2 to September 24; Wednesday, 3:00 pm - 7:00 pm. ","www.maplewood-events.com/farmersmarket",""
"New Entry Mobile Market","45 Dolphin Ave. ","Revere","MA","02151","Dates and Time: Thursday, 1:00 pm - 2:00 pm, June 12 to October 30. ","nesfp.org","(978) 654-6745"
"Braintree Farmers Market","1 John F Kennedy Memorial Dr.-Town Hall Mall","Braintree","MA","02184","Dates & Time: June 14 to October 11; Saturday, 9:00 am - 1:00 pm; WIC & Senior Coupons Accepted; 
Holiday Market: 11/22.","www.braintreefarmersmarket.org",""
"New Entry Mobile Market","50 Walnut Ave. ","Revere","MA","02151","Dates and Time: Thursday, 2:30 pm - 3:30 pm, June 12 to October 30. ","nesfp.org","(978) 654-6745"
"Farmer Dave's - CSA Pick-Up","60 Lowell Street","Arlington","MA","02474","CSA Pick-up Days: Friday, 2:00 pm - 6:00 pm.","farmerdaves.csaware.com/store/","978-349-1952"
"Revere Beach Farmers Market","Beaver Street between Ocean Ave and Revere Beach Blvd. ","Revere","MA","02151","Dates & Time: July 25 to September 26; Saturday, 11:00 am - 3:00 pm: WIC & Senior Coupons Accepted; EBT-SNAP Accepted. 

","www.revere.org/departments/public-health-division/healthy-living/revere-farmers-market  ",""
"Brookfield Farm - CSA Pick-Up","70 Hancock Street","Bedford","MA","01730","CSA Pick-up Days: Thursday, Starting in June. ","www.brookfieldfarm.org/csa/","413-253-7991"
"Norwood Farmers Market","Nahatan and Washington Streets-Town Common","Norwood","MA","02062","Dates & Times: June 17 to October 14; Tuesday, 2:00 pm - 6:00pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","",""
"Capeway Florists","249 North Street","Weymouth","MA","02191","","","781 337-1470"
"Furlong's Candies & Ice Cream","23 Cottage Street","Norwood","MA","02062","","www.furlongscandies.com","(781) 762-4124"
"Weymouth Farmers Market","46 Broad Street","Weymouth","MA","02190","Tufts Library, Weston Park; Dates & Time: Every other Wednesday, 4:00 pm - 7:00 pm; June 11 to October 11; WIC & Senior Coupons Accepted; EBT-SNAP Accepted. 
","www.weymouthfarmersmarket.com/",""
"Lexington Community Farm","52 Lowell Street","Lexington","MA","02420","Community-based farm where area residents come to learn about and enjoy organic produce, premium food, sustainable farming, and nature. Farm store, year-round CSA offerings including veggies, fruit, mushrooms, eggs and flowers, hands-on education classes for children and adults, volunteer programs. 
CSA Pickup(s): On Farm.


","www.lexfarm.org","() -"
"Lexington Community Farm CSA","52 Lowell Street","Lexington","MA","02420","Community-based farm where area residents come to learn about and enjoy organic produce, premium food, sustainable farming, and nature. Farm store, year-round CSA offerings including veggies, fruit, mushrooms, eggs and flowers, hands-on education classes for children and adults, volunteer programs. 
CSA Pickup(s): On Farm.

","www.lexfarm.org","() -"
"Wilson Farm","10 Pleasant Street","Lexington","MA","02421","Family owned and operated for 140-years and open year-round. Awarded multiple “Best of Boston” titles. Offer the freshest local produce, flowers, plants, gourmet baked goods, master-chef prepared meals and more. Offers 3 CSA shares that include produce, cut flowers, and locally sourced fish available for pickup. “Pick Your Own Tulips” in the Spring!

CSA Products Offered: Produce, Flowers, Fish
Pickup(s): On Farm","WilsonFarm.com","(781) 862-3900"
"Wright-Locke Farm","78-82 Ridge Street","Winchester","MA","01890","A historic certified organic farm retailing via a contactless online sales platform, farmers markets, and a CSA (veg, flowers, & herbs) with a PYO raspberry and flower operation and farm stand when raspberries are in season operating on the traditional territory of the Massa-adchu-es-et and Pawtucket peoples. Offer educational classes for kids and adults and tours for school groups. An entrance point to 130 acres of trails in adjacent conservation land. Monthly events welcoming the community.","www.wlfarm.org","(781) 729-8775"
"Lexington Winter Farmers' Market","739 Massachusetts Ave.-Waldorf School of Lexington (Back entrance)","Lexington","MA","02420","Dates & Times: 2nd Saturdays, 11:00 am - 2:00 pm; January 3 to April 11; EBT-SNAP Accepted.","www.lexingtonfarmersmarket.org",""
"Powisset Farm","37 Powisset Street","Dover","MA","02030","Powisset Farm is a property of the Trustees of Reservations. Our farm began in 2007. We operate a 250-person CSA, do a small amount of restaurant sales, as well as weekly donations to local food pantries. We also have volunteer opportunities, educational workshops for children and adults, school tours, cooking classes, walks and hikes, farm dinners, 4H programs for kids and opportunities to volunteer.

CSA Products offered: Vegetables, Fruit, Flowers
Pickup(s): On Farm, Tuesday, 2:00 pm - 6:00 pm; Thursday, 10:00 am - 6:00 pm; Saturday, 10:00 am - 4:00 pm
June to December","www.thetrustees.org/program/powisset-farm-stand","(505) 785-0339"
"Wagon Wheel Farm Stand","927 Waltham Street","Lexington","MA","02421","Farmstand, deli, garden center, much and lawn loam deliveries (local), and landscaping","www.wagonwheelfarmstand.com","(781) 862-2112"
"Pizzi Farm Ice Cream","495 Lincoln Street","Waltham","MA","02451","","www.pizzifarm.com","(781) 891-1032"
